Stethoscope	ECG
0.0201416	-0.00396729
-0.0259399	-0.00366211
-0.0494385	-0.00366211
-0.0616455	-0.00396729
-0.0646973	-0.00457764
-0.0515747	-0.00457764
-0.0354004	-0.00366211
-0.0109863	-0.0012207
0.0180054	0.00183105
0.0424194	0.00549316
0.0576782	0.00946045
0.0558472	0.0140381
0.0469971	0.0192261
0.0335693	0.0238037
0.0140381	0.027771
-0.00457764	0.0311279
-0.0238037	0.0338745
-0.0274658	0.0363159
-0.00732422	0.0384521
0.0177002	0.0402832
0.0137329	0.0424194
-0.0177002	0.0448608
-0.0390625	0.0482178
-0.0534058	0.0518799
-0.0650024	0.0546265
-0.0564575	0.0564575
-0.043335	0.0579834
-0.0189209	0.0585938
0.0265503	0.0579834
0.0515747	0.055542
0.057373	0.0509644
0.0637817	0.0436401
0.0473022	0.0344849
0.0274658	0.0244141
0.0231934	0.0152588
0.000915527	0.00732422
-0.0164795	0
-0.0109863	-0.00640869
-0.0161743	-0.0115967
-0.0222778	-0.0158691
-0.0201416	-0.017395
-0.0259399	-0.0164795
-0.0189209	-0.0158691
0	-0.0161743
0.00823975	-0.0180054
0.0164795	-0.0198364
0.0228882	-0.0219727
0.0241089	-0.0247192
0.0228882	-0.0271606
0.00823975	-0.0286865
-0.0195313	-0.0305176
-0.038147	-0.0326538
-0.043335	-0.0338745
-0.038147	-0.0338745
-0.0222778	-0.032959
-0.0140381	-0.0311279
-0.0125122	-0.0292969
0.00244141	-0.027771
0.0219727	-0.0262451
0.038147	-0.0250244
0.0506592	-0.0234985
0.0402832	-0.0228882
0.0183105	-0.022583
0.00335693	-0.0219727
-0.012207	-0.020752
-0.0256348	-0.0195313
-0.0326538	-0.0180054
-0.0354004	-0.015564
-0.0219727	-0.0109863
-0.0012207	-0.00518799
0.0143433	0.0012207
0.0326538	0.00854492
0.0466919	0.0189209
0.0454712	0.032959
0.0238037	0.0500488
-0.0137329	0.0689697
-0.0534058	0.0888062
-0.0671387	0.109558
-0.0595093	0.131226
-0.0509644	0.153503
-0.038147	0.176086
-0.0259399	0.198059
-0.00762939	0.21698
0.0292969	0.230713
0.0631714	0.238037
0.0808716	0.237427
0.0927734	0.227051
0.0970459	0.207214
0.0909424	0.177307
0.0741577	0.137329
0.0250244	0.0897217
-0.0427246	0.0378418
-0.0906372	-0.0137329
-0.123596	-0.0619507
-0.132751	-0.104675
-0.107117	-0.138245
-0.0741577	-0.161133
-0.0411987	-0.172424
0.00549316	-0.173645
-0.0158691	-0.16571
-0.112	-0.150757
-0.126343	-0.131531
-0.0390625	-0.111694
0.0820923	-0.0930786
0.233765	-0.0769043
0.383301	-0.0646973
0.453186	-0.0561523
0.42511	-0.0500488
0.307617	-0.0463867
0.0952148	-0.0439453
-0.186768	-0.0424194
-0.449829	-0.0418091
-0.623779	-0.0411987
-0.68512	-0.0402832
-0.629272	-0.0387573
-0.454712	-0.0369263
-0.217896	-0.0350952
0.0421143	-0.0326538
0.319519	-0.0302124
0.549011	-0.0286865
0.694275	-0.0280762
0.737305	-0.0274658
0.656433	-0.0259399
0.44342	-0.0247192
0.127563	-0.0247192
-0.196838	-0.0250244
-0.446777	-0.0250244
-0.578003	-0.0250244
-0.585327	-0.0247192
-0.507202	-0.0234985
-0.379639	-0.0216675
-0.217896	-0.0195313
-0.0408936	-0.017395
0.137329	-0.0158691
0.280457	-0.0149536
0.354614	-0.0149536
0.368347	-0.0149536
0.338745	-0.0143433
0.270386	-0.0134277
0.177612	-0.0125122
0.0674438	-0.0115967
-0.0601196	-0.010376
-0.174866	-0.00915527
-0.239868	-0.00793457
-0.266418	-0.00671387
-0.259705	-0.00579834
-0.210571	-0.00427246
-0.124512	-0.00213623
-0.0210571	-0.000610352
0.0759888	-0.000610352
0.137939	-0.000915527
0.169373	-0.000915527
0.178833	-0.000305176
0.157471	0
0.107422	0.000610352
0.0427246	0.0012207
-0.0189209	0.00274658
-0.0637817	0.00366211
-0.0897217	0.00427246
-0.0994873	0.00457764
-0.0949097	0.00549316
-0.0775146	0.00640869
-0.0482178	0.00793457
-0.0152588	0.00976563
0.0109863	0.0115967
0.0253296	0.0131226
0.0326538	0.0143433
0.0445557	0.0152588
0.0546265	0.015564
0.0424194	0.0158691
0.0109863	0.0152588
-0.0128174	0.0152588
-0.0177002	0.0152588
-0.0137329	0.0152588
-0.00671387	0.015564
-0.00274658	0.0161743
-0.000610352	0.0177002
-0.000610352	0.0195313
0	0.0216675
0.00488281	0.0231934
0.00305176	0.0247192
-0.00305176	0.0259399
-0.000305176	0.0268555
0.00671387	0.0271606
0.0100708	0.0265503
0.00610352	0.0253296
-0.00213623	0.0250244
-0.00823975	0.0256348
-0.0146484	0.0268555
-0.0180054	0.027771
-0.015564	0.0289917
-0.0106812	0.0305176
-0.00671387	0.0323486
-0.0012207	0.0341797
0.00518799	0.0360107
