L I	L III	L II(Calc.)
-0.0100708	0.00213623	-0.00793457
-0.00915527	0.00183105	-0.00732422
-0.00762939	0.00152588	-0.00610352
-0.00579834	0.00152588	-0.00427246
-0.00305176	0.00183105	-0.0012207
-0.000305176	0.00213623	0.00183105
0.00213623	0.00244141	0.00457764
0.00396729	0.00305176	0.00701904
0.00488281	0.00427246	0.00915527
0.00579834	0.00457764	0.010376
0.00549316	0.00518799	0.0106812
0.00518799	0.00671387	0.0119019
0.00549316	0.00854492	0.0140381
0.00610352	0.010376	0.0164795
0.00701904	0.012207	0.0192261
0.00823975	0.0137329	0.0219727
0.00976563	0.0140381	0.0238037
0.0119019	0.0137329	0.0256348
0.0152588	0.0125122	0.027771
0.0195313	0.0109863	0.0305176
0.0241089	0.0106812	0.03479
0.0292969	0.0109863	0.0402832
0.0341797	0.0100708	0.0442505
0.0387573	0.00915527	0.0479126
0.0427246	0.00915527	0.0518799
0.0463867	0.0100708	0.0564575
0.0491333	0.010376	0.0595093
0.0515747	0.00915527	0.06073
0.0524902	0.00762939	0.0601196
0.0518799	0.00579834	0.0576782
0.050354	0.00366211	0.0540161
0.0485229	0.000610352	0.0491333
0.0463867	-0.00366211	0.0427246
0.0439453	-0.00823975	0.0357056
0.0408936	-0.0134277	0.0274658
0.0378418	-0.0195313	0.0183105
0.0354004	-0.0262451	0.00915527
0.0332642	-0.032959	0.000305176
0.0311279	-0.0390625	-0.00793457
0.0286865	-0.0436401	-0.0149536
0.0256348	-0.045166	-0.0195313
0.0222778	-0.0445557	-0.0222778
0.0180054	-0.0427246	-0.0247192
0.0131226	-0.0396729	-0.0265503
0.00762939	-0.0344849	-0.0268555
0.00213623	-0.027771	-0.0256348
-0.00335693	-0.0204468	-0.0238037
-0.00854492	-0.0131226	-0.0216675
-0.0140381	-0.00640869	-0.0204468
-0.0195313	-0.000915527	-0.0204468
-0.0247192	0.00244141	-0.0222778
-0.0299072	0.00488281	-0.0250244
-0.0341797	0.00671387	-0.0274658
-0.0372314	0.00762939	-0.0296021
-0.0393677	0.00823975	-0.0311279
-0.0405884	0.00823975	-0.0323486
-0.0408936	0.00732422	-0.0335693
-0.0396729	0.00610352	-0.0335693
-0.0378418	0.00549316	-0.0323486
-0.0354004	0.00549316	-0.0299072
-0.032959	0.00579834	-0.0271606
-0.0305176	0.00579834	-0.0247192
-0.027771	0.00549316	-0.0222778
-0.0253296	0.00518799	-0.0201416
-0.0231934	0.00518799	-0.0180054
-0.0216675	0.00518799	-0.0164795
-0.020752	0.00579834	-0.0149536
-0.0210571	0.00701904	-0.0140381
-0.022583	0.00854492	-0.0140381
-0.0247192	0.010376	-0.0143433
-0.0271606	0.0140381	-0.0131226
-0.0296021	0.0195313	-0.0100708
-0.0323486	0.027771	-0.00457764
-0.0344849	0.0366211	0.00213623
-0.0335693	0.043335	0.00976563
-0.0283813	0.0469971	0.0186157
-0.0186157	0.0476074	0.0289917
-0.00427246	0.0460815	0.0418091
0.0152588	0.0415039	0.0567627
0.0405884	0.0317383	0.0723267
0.0714111	0.0161743	0.0875854
0.105591	-0.00335693	0.102234
0.140381	-0.0234985	0.116882
0.17334	-0.0415039	0.131836
